Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34609.62,48306.59,32082.71,68095.39,55695.27,70890.79,57465.53,57982.12
34628.13,48317.32,32091.56,68104.24,55675.69,70897.49,57437.36,57984.8
34630.0,48329.12,32084.85,68134.55,55684.54,70911.17,57436.02,57983.46
34616.06,48326.17,32073.86,68147.42,55712.7,70911.71,57463.38,57982.12
34609.35,48312.76,32075.47,68127.04,55724.5,70899.1,57480.01,57980.78
34618.74,48309.54,32088.34,68102.1,55703.05,70886.23,57460.7,57979.44
34637.51,48318.66,32098.27,68104.24,55675.42,70883.01,57429.59,57978.1
34636.44,48328.31,32088.61,68132.67,55683.2,70892.13,57430.93,57978.1
34619.81,48324.83,32076.54,68145.01,55713.24,70893.2,57460.43,57977.02
34607.47,48313.56,32074.13,68123.02,55725.85,70879.79,57477.33,57975.68
34616.06,48309.27,32084.32,68097.54,55705.46,70868.53,57459.36,57976.22
34632.68,48317.58,32092.63,68103.17,55684.27,70875.77,57431.19,57978.63
34634.83,48329.65,32086.46,68131.33,55691.78,70887.03,57431.19,57976.76
34618.2,48327.24,32073.32,68143.94,55721.29,70887.3,57459.36,57975.68
34604.79,48315.97,32067.42,68127.58,55737.38,70877.91,57475.99,57981.58
34615.79,48311.68,32080.03,68101.29,55718.87,70866.92,57457.75,57986.14
34632.68,48321.07,32088.88,68104.78,55692.59,70868.26,57426.63,57985.88
34632.42,48330.46,32081.9,68133.21,55699.83,70880.33,57425.83,57985.61
34615.25,48327.78,32069.3,68146.35,55730.41,70882.47,57451.31,57982.93
34608.81,48314.9,32074.66,68123.55,55740.06,70865.58,57467.14,57980.51
34618.2,48309.81,32085.66,68098.34,55719.68,70852.43,57450.51,57985.07
34633.76,48320.0,32092.63,68104.78,55701.17,70860.21,57424.22,57990.44
34633.76,48332.87,32083.78,68135.89,55710.29,70874.16,57425.83,57993.39
34618.2,48329.92,32069.83,68151.72,55738.45,70877.65,57453.46,57989.63
34605.33,48318.93,32065.27,68135.36,55753.2,70870.14,57472.5,57988.56
34615.25,48315.97,32078.69,68112.82,55735.23,70868.79,57454.53,57989.63
34635.1,48324.29,32092.1,68117.12,55710.29,70875.23,57424.22,57989.9
34634.83,48334.48,32084.59,68146.89,55717.26,70888.11,57423.68,57989.63
34618.2,48331.8,32071.71,68164.59,55748.64,70892.93,57452.38,57986.14
34609.35,48319.19,32071.44,68146.08,55761.52,70880.33,57471.16,57984.8
34618.74,48315.71,32085.39,68121.68,55744.62,70872.01,57461.24,57987.22
34634.03,48327.24,32091.29,68125.97,55723.16,70882.47,57432.27,57987.75
34636.98,48338.51,32084.32,68152.25,55730.94,70899.91,57429.05,57988.56
34621.96,48336.36,32074.13,68162.98,55758.03,70903.66,57455.87,57986.68
34609.35,48323.49,32073.05,68136.96,55766.62,70888.37,57471.43,57983.46
34616.06,48318.39,32081.64,68106.66,55743.55,70877.11,57452.65,57985.07
34633.49,48325.09,32092.1,68104.78,55716.19,70881.67,57424.22,57986.95
